Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788244137,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788244138,5,,Aggregated,0.000000,0.000000,3,5,7,7,13,16,16,16,16,16,16,16,0,3,4.842869937496275,1.4639960000124574,15.736619999984214,613.125
1788244139,10,,Aggregated,0.000000,0.000000,2,5,6,7,17,19,23,23,23,23,23,42,0,2,5.501419190475569,1.3088069999867002,22.829619999981787,626.5952380952381
1788244140,15,,Aggregated,15.000000,0.000000,2,3,5,6,12,18,22,23,23,23,23,78,0,2,4.283814910256212,1.2992199999928289,22.829619999981787,595.5769230769231
1788244141,20,,Aggregated,18.000000,0.000000,2,2,3,5,9,13,19,22,23,23,23,121,0,2,3.666658479338096,1.2168769999902906,22.829619999981787,646.8512396694215
1788244142,20,,Aggregated,23.333333,0.000000,2,2,3,3,7,12,18,22,23,23,23,151,0,2,3.223310099337335,1.209721999998692,22.829619999981787,711.5761589403974
1788244143,20,,Aggregated,27.000000,0.000000,2,2,2,3,7,10,18,22,23,23,23,186,0,2,2.896986290322491,1.1861060000057932,22.829619999981787,722.6774193548387
1788244144,20,,Aggregated,28.200000,0.000000,2,2,2,2,6,9,17,19,23,23,23,220,0,2,2.685709136363295,1.161506999977746,22.829619999981787,725.4863636363636
1788244145,20,,Aggregated,28.833333,0.000000,1,2,2,2,5,9,16,19,23,23,23,259,0,1.1607790000027762,2.5132222509648816,1.1607790000027762,22.829619999981787,710.2471042471043
1788244146,20,,Aggregated,29.714286,0.000000,1,2,2,2,4,9,16,19,23,23,23,294,0,1.1607790000027762,2.406340187074248,1.1607790000027762,22.829619999981787,726.8401360544218
1788244147,20,,Aggregated,30.375000,0.000000,1,2,2,2,3,7,13,18,23,23,23,322,0,1.1607790000027762,2.3267950496888536,1.1607790000027762,22.829619999981787,757.7142857142857
1788244148,20,,Aggregated,31.111111,0.000000,1,2,2,2,3,7,12,18,23,23,23,360,0,1.1607790000027762,2.228475274999337,1.1607790000027762,22.829619999981787,772.1472222222222
1788244149,20,,Aggregated,31.300000,0.000000,1,2,2,2,3,6,12,18,23,23,23,394,0,1.1607790000027762,2.1713405152277674,1.1607790000027762,22.829619999981787,771.8705583756346
1788244150,20,,Aggregated,33.300000,0.000000,1,2,2,2,3,6,11,17,23,23,23,430,0,1.1607790000027762,2.141635523255353,1.1607790000027762,22.829619999981787,773.5697674418604
1788244151,20,,Aggregated,34.700000,0.000000,1,2,2,2,3,5,10,17,23,23,23,468,0,1.1197370000104456,2.0894372393160827,1.1197370000104456,22.829619999981787,776.284188034188
1788244152,20,,Aggregated,34.900000,0.000000,1,2,2,2,3,5,10,17,23,23,23,500,0,1.1197370000104456,2.0600736699998947,1.1197370000104456,22.829619999981787,777.768
