Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/orders [create],49,0,2,1.963431183674063,1.3481450000085715,5.522867999985692,133.51020408163265,3.2728993426998274,0.0,2,2,2,2,3,5,6,6,6,6,6
GET,/api/v1/orders [list],66,0,1.2353620000169485,2.0575558787920967,1.2353620000169485,18.60087700001145,1260.909090909091,4.408395033024258,0.0,1,2,2,2,2,3,18,19,19,19,19
GET,/api/v1/pets [list],160,0,1.2436700000080236,1.7136424374990966,1.2436700000080236,17.064363000002913,1655.19375,10.687018261876988,0.0,1,2,2,2,2,3,3,6,17,17,17
POST,/api/v1/pets [setup: create pet],20,0,9,10.063915949997693,4.976871999986088,22.829619999981787,169.75,1.3358772827346235,0.0,9,10,12,13,22,23,23,23,23,23,23
GET,/api/v1/pets/{pet_id} [get],103,0,1.1687349999931484,1.6032916019404642,1.1687349999931484,7.485256999984813,168.6893203883495,6.879768006083311,0.0,1,1,2,2,2,3,3,4,7,7,7
PUT,/api/v1/pets/{pet_id} [update],44,0,2,1.6096765909097144,1.3034049999873787,2.781692000013436,168.77272727272728,2.9389300220161716,0.0,2,2,2,2,2,2,3,3,3,3,3
GET,/api/v1/stats,29,0,1.1197370000104456,1.4882162413767157,1.1197370000104456,2.65628100001436,131.17241379310346,1.9370220599652042,0.0,1,1,2,2,2,3,3,3,3,3,3
GET,/health,29,0,1.1607790000027762,1.498132206896916,1.1607790000027762,3.5743629999842597,79.0,1.9370220599652042,0.0,1,1,2,2,2,2,4,4,4,4,4
,Aggregated,500,0,1.1197370000104456,2.0600736699998947,1.1197370000104456,22.829619999981787,777.768,33.39693206836559,0.0,1,2,2,2,3,5,10,17,23,23,23
